Feature,Importance
categorical__Current_Use_Angle Closure Glaucoma,0.0007901059132451327
categorical__Current_Use_Cutaneous Candidiasis,0.0007889856805115813
categorical__Target_Protein_UniProt_P11229; P14416; P46098; Q13639,0.0007881170919642696
categorical__Current_Use_Gaucher Disease,0.0007868855101349179
categorical__Target_Protein_UniProt_P07550; P08588; P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P34969; P35348; P35368; P35462; P41595,0.0007837487743732217
categorical__Current_Use_Actinic keratosis,0.000779201985594451
categorical__Target_Protein_UniProt_O75469; P03372,0.0007779271266904223
categorical__Current_Use_Erysipelas,0.0007765648570450018
categorical__Drug_Class_Anti-glaucoma Agents,0.0007730466670218925
categorical__Drug_Class_Antiemetics,0.0007725285270608323
categorical__Current_Use_Age related macular degeneration,0.0007721382239100222
categorical__Target_Protein_UniProt_P06401,0.0007715885785163864
categorical__Target_Protein_UniProt_P00326; P00395; P00403; P00414; P04054; P09669; P10176; P10606; P13073; P14854; P15954; P20674; P22830; P23141; P24310; P24311; P51161; P54965; P62508; Q02221; Q7KZA3,0.0007708096980537791
categorical__Current_Use_Pain,0.0007666866884603099
categorical__Current_Use_Chemotherapy-induced nausea and vomiting,0.0007602001070210857
categorical__Target_Protein_UniProt_P00533; Q14524; Q15858; Q9Y5Y9,0.0007574305128695353
categorical__Target_Protein_UniProt_P00915; P00918; P22748; P43166,0.0007509370453092306
categorical__Target_Protein_UniProt_P00533,0.0007499368751308932
categorical__Current_Use_Chorioretinitis,0.0007468678432722256
categorical__Drug_Class_Cholagogues and Choleretics,0.000745724404266895
categorical__Target_Protein_UniProt_P62942,0.0007436386107416633
categorical__Current_Use_Aspiration Pneumonia,0.0007432795585262844
categorical__Drug_Class_Expectorants,0.0007409192418115384
categorical__Target_Protein_UniProt_P07202,0.0007395846750902092
categorical__Current_Use_Renal Cell Carcinoma,0.0007370207624379559
categorical__Target_Protein_UniProt_P14416; P21728; P21917; P21918; P35462,0.0007369624468365821
