Feature,Importance
categorical__Target_Protein_UniProt_O75746; P00505; P00966; P07998; P08243; P14868; P17174; P22234; P27708; P30520; P43005; P45381; P61626; Q03154; Q12797; Q5T6L4; Q6PI48; Q7L266; Q8N142; Q96HD9; Q9UJS0,0.0
categorical__Target_Protein_UniProt_O14646; P11388,0.0
categorical__Target_Protein_UniProt_O14746,0.0
categorical__Target_Protein_UniProt_O14920; O15111; O15399; P48637; Q03154; Q05586; Q12879; Q13224; Q8TCU5; Q9UPY5,0.0
categorical__Target_Protein_UniProt_O14920; O15111; P04054; P09917; P23219; P24557; P24752; P35354; P37231; Q9UPY5,0.0
categorical__Target_Protein_UniProt_O14920; O15111; P05164; P09917; P23219; P35354; P37231,0.0
categorical__Target_Protein_UniProt_O14920; P04637; P11021; P23219; P25101; P25963; P35354; P51812; Q04828,0.0
categorical__Target_Protein_UniProt_O76074; P27815; P29274; P29275; P30542; Q07343; Q14432; Q92769,0.0
categorical__Target_Protein_UniProt_O76074; Q9HCR9,0.0
categorical__Target_Protein_UniProt_O95477; P23141,0.0
categorical__Target_Protein_UniProt_O95644; P01375; P07550; P08588; P08913; P23975; P31645; P35348; P60568; Q01959,0.0
categorical__Target_Protein_UniProt_O95665; P35367,0.0
categorical__Target_Protein_UniProt_O95749; P14324,0.0
categorical__Target_Protein_UniProt_P00326; P00395; P00403; P00414; P04054; P09669; P10176; P10606; P13073; P14854; P15954; P20674; P22830; P23141; P24310; P24311; P51161; P54965; P62508; Q02221; Q7KZA3,0.0
categorical__Target_Protein_UniProt_P00374,0.0
categorical__Target_Protein_UniProt_P00374; P04818,0.0
categorical__Target_Protein_UniProt_P00374; P04818; P22102; P31939,0.0
categorical__Target_Protein_UniProt_O43570; P00915; P00918; P05023; P22748; Q12791; Q13621; Q16790,0.0
categorical__Target_Protein_UniProt_O43570; P00915; P00918; P22748; P55017; Q12791; Q16790,0.0
categorical__Target_Protein_UniProt_O43741; P06737; P09467; P11309; P16220; P33121; P49773; P55263; Q07343; Q08499; Q08828; Q13131; Q9NR19; Q9NUB1; Q9Y478,0.0
categorical__Target_Protein_UniProt_O43772; O76082; P05164; P23141; P23786; P43155; P47989; P50416; Q8N8R3; Q9H015; Q9UKG9,0.0
categorical__Target_Protein_UniProt_O60391; O75311; O75600; P13196; P21549; P22557; P23378; P23415; P23416; P23434; P34896; P34897; P41250; P48067; P48167; P48637; P50440; Q12879; Q14032; Q14330; Q14749; Q14957; Q6IB77; Q7Z2H8; Q8WU03; Q969I3; Q9BYV1; Q9H598; Q9P0Z9; Q9Y345,0.0
categorical__Target_Protein_UniProt_O60674; P23458,0.0
categorical__Target_Protein_UniProt_P00519; P04049; P04629; P07949; P09619; P10721; P11362; P15056; P16234; P17948; P21802; P29317; P35916; P35968; P42685; Q02763; Q15759; Q16832,0.0
categorical__Target_Protein_UniProt_P00519; P04629; P07333; P09619; P10721; P16234; Q08345,0.0
categorical__Target_Protein_UniProt_P00519; P06239; P06241; P07947; P09619; P10721; P12931; P29317; P42684; P51692,0.0
categorical__Target_Protein_UniProt_P00519; P06239; P07948; P07949; P10721; P11274; P11362; P12931; P16234; P21802; P22455; P22607; P35968; P36888; Q02763,0.0
categorical__Target_Protein_UniProt_P00519; P07948; P08631; P11274; P12931; P24941; P36507; Q02750; Q13555; Q9Y2U5,0.0
categorical__Target_Protein_UniProt_P00533,0.0
categorical__Target_Protein_UniProt_P00533; P04626; Q15303,0.0
categorical__Target_Protein_UniProt_P00533; P15692; Q02763; Q13882,0.0
categorical__Target_Protein_UniProt_P00533; Q14524; Q15858; Q9Y5Y9,0.0
categorical__Target_Protein_UniProt_P00720; P07550; P08588,0.0
categorical__Target_Protein_UniProt_O75762; P41145; Q7Z2W7; Q8NET8,0.0
categorical__Target_Protein_UniProt_O75911; O94788; O95237; P00352; P09455; P10745; P12271; P47895; Q6NUM9; Q8NBN7; Q8TC12; Q92781; Q96NR8; Q9BTZ2; Q9HBH5; Q9NYR8,0.0
categorical__Target_Protein_UniProt_O76074,0.0
categorical__Target_Protein_UniProt_O76074; P00813; P27815; Q9Y233,0.0
categorical__Target_Protein_UniProt_O76074; P18545; Q13956,0.0
categorical__Target_Protein_UniProt_O76074; P21589; P27815; P29274; P30542; Q07343,0.0
categorical__Target_Protein_UniProt_P00807; P02918; P02919; P0AD65; P42971,0.0
categorical__Target_Protein_UniProt_P00811; P0A3M6; Q75Y35; Q7CRA4; Q8DNB6; Q8DR59,0.0
categorical__Target_Protein_UniProt_P00811; P0AEB3; Q51504; Q8DNB6,0.0
categorical__Target_Protein_UniProt_P00813,0.0
categorical__Target_Protein_UniProt_P00915,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P05023; P22748; Q13621,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P05023; P55017; Q12791; Q14654,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P07451; P22748; P29972; P43166; Q9ULX7,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P22748,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P22748; P35218,0.0
categorical__Target_Protein_UniProt_P00390,0.0
categorical__Target_Protein_UniProt_P00439; P07101; P17752; P29474,0.0
categorical__Target_Protein_UniProt_P00439; P07550; P08588; P08913; P13945; P18089; P18825; P25100; P35348; P35368,0.0
categorical__Target_Protein_UniProt_P00439; P07550; P08588; P08913; P13945; P18089; P18825; P25100; P35348; P35368; P54219; Q05940,0.0
categorical__Target_Protein_UniProt_P00491; P09884; P23921; P31350; P56282; Q07864; Q7LG56; Q9NR33; Q9NRF9,0.0
categorical__Target_Protein_UniProt_P00492,0.0
categorical__Target_Protein_UniProt_P00918; Q13621,0.0
categorical__Target_Protein_UniProt_P01023; P14735,0.0
categorical__Target_Protein_UniProt_P01133; P02671; P02675; P02679; P09038,0.0
categorical__Target_Protein_UniProt_P01375; P19838; P21802; P35354; Q96SW2,0.0
categorical__Target_Protein_UniProt_P01375; P35354; Q96SW2,0.0
categorical__Target_Protein_UniProt_P01375; Q07343; Q14432,0.0
categorical__Target_Protein_UniProt_P01584; P09917; P0A7V8; P0A7X3; P14780; P15692; P29466; P42574; P99999,0.0
categorical__Target_Protein_UniProt_P02359; P04156; P0A7U3; P0A7V3; P0A7W7; P0AG59,0.0
categorical__Target_Protein_UniProt_P02708; P06276; P07510; P11230; P17787; P22303; P30532; P30926; P32297; P36544; P43681; Q04844; Q05901; Q07001; Q15822; Q15825; Q9GZZ6; Q9UGM1,0.0
categorical__Target_Protein_UniProt_P02788,0.0
categorical__Target_Protein_UniProt_P00722; Q7Z4J2; Q9NZD2,0.0
categorical__Target_Protein_UniProt_P00734,0.0
categorical__Target_Protein_UniProt_P00742,0.0
categorical__Target_Protein_UniProt_P00749; P19634; P19801; P37088; P51168; P51170; P51172; P78348; Q16515,0.0
categorical__Target_Protein_UniProt_P00750; P27815; P34995; P43119; Q07343; Q08493; Q08499,0.0
categorical__Target_Protein_UniProt_P00807,0.0
categorical__Target_Protein_UniProt_P02918; P02919; P0AD68,0.0
categorical__Target_Protein_UniProt_P03176; P04293,0.0
categorical__Target_Protein_UniProt_P03200,0.0
categorical__Target_Protein_UniProt_P03372; P04150; P10275; P16471,0.0
categorical__Target_Protein_UniProt_P03372; P05164; P11678; P16083; P27797; P46597; P48039; P49286; P62158,0.0
categorical__Target_Protein_UniProt_P03372; P06401,0.0
categorical__Target_Protein_UniProt_P03372; P06401; P10275; P13500; P30968,0.0
categorical__Target_Protein_UniProt_P03372; P06401; P10275; P18405,0.0
categorical__Target_Protein_UniProt_P03372; P11137; P78559; Q92731,0.0
categorical__Target_Protein_UniProt_P03372; P14060; P26439; Q92731,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P22748; P43166,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P22748; P55017,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P22748; P55017; Q12791,0.0
categorical__Target_Protein_UniProt_P00915; P00918; P22748; Q13621,0.0
categorical__Target_Protein_UniProt_P00918; P05089; P0ABQ4; P35222; Q8XB74,0.0
categorical__Target_Protein_UniProt_P00918; P14867; P22748; P35498; P39086,0.0
categorical__Target_Protein_UniProt_P04083; P04150,0.0
categorical__Target_Protein_UniProt_P04083; P04150; P35228; P51843,0.0
categorical__Target_Protein_UniProt_P04150; P04278; P06401; P08235; P10275; P19099,0.0
categorical__Target_Protein_UniProt_P04150; P06401,0.0
categorical__Target_Protein_UniProt_P04150; P06401; P08235; P47712,0.0
categorical__Target_Protein_UniProt_P04150; P08235; P10275,0.0
categorical__Target_Protein_UniProt_P04150; P28845,0.0
categorical__Target_Protein_UniProt_P04150; Q99835,0.0
categorical__Target_Protein_UniProt_P04271; P23297; P29034; P35367; P80511; Q99584,0.0
categorical__Target_Protein_UniProt_P04818; P23921; P30085,0.0
categorical__Target_Protein_UniProt_P02918,0.0
categorical__Target_Protein_UniProt_P02918; P02919; P08506; P0A3M6; P0AD68; P0AEB2; P0AFI5; P24228; Q75Y35; Q7CRA4; Q8DNB6; Q8DR59,0.0
categorical__Target_Protein_UniProt_P02918; P02919; P08506; P0AD68; P0AEB2,0.0
categorical__Target_Protein_UniProt_P02918; P02919; P0AD65; P0AD68,0.0
categorical__Target_Protein_UniProt_P02918; P02919; P0AD65; P0AD68; P24228,0.0
categorical__Target_Protein_UniProt_P02918; P02919; P0AD65; P0AD68; P27169; P76577,0.0
categorical__Target_Protein_UniProt_P05230; P09619; P10721; P16234; P17948; P22607; P35916; P35968; Q08881; Q9UQQ2,0.0
categorical__Target_Protein_UniProt_P05412; P07437; P23258; Q71U36; Q9UJT0; Q9UJT1,0.0
categorical__Target_Protein_UniProt_P05412; P30556,0.0
categorical__Target_Protein_UniProt_P06276; P22303,0.0
categorical__Target_Protein_UniProt_P06401,0.0
categorical__Target_Protein_UniProt_P06715; P07003; P61889; P77390,0.0
categorical__Target_Protein_UniProt_P06746,0.0
categorical__Target_Protein_UniProt_P06864,0.0
categorical__Target_Protein_UniProt_P07098; P16233; P49327,0.0
categorical__Target_Protein_UniProt_P07101,0.0
categorical__Target_Protein_UniProt_P07202,0.0
categorical__Target_Protein_UniProt_P03372; Q92731,0.0
categorical__Target_Protein_UniProt_P04035; P05107,0.0
categorical__Target_Protein_UniProt_P04035; P20701; Q92769,0.0
categorical__Target_Protein_UniProt_P04035; P27487; P35869,0.0
categorical__Target_Protein_UniProt_P04049; P15056; P53667; P57059; Q8NG66,0.0
categorical__Target_Protein_UniProt_P07550; P08588; P08908; P13945; P28222,0.0
categorical__Target_Protein_UniProt_P07550; P08588; P08908; P28222,0.0
categorical__Target_Protein_UniProt_P07550; P08588; P08913; P21728; P35348,0.0
categorical__Target_Protein_UniProt_P07550; P08588; P13945,0.0
categorical__Target_Protein_UniProt_P07900; P21462; Q13258; Q9NS75; Q9Y271,0.0
categorical__Target_Protein_UniProt_P08172; P08173; P08908; P08912; P08913; P11229; P14416; P18089; P18825; P20309; P21728; P21917; P21918; P25021; P28221; P28222; P28223; P28335; P28566; P34969; P35348; P35367; P35368; P35462; P41595; P46098; P47898; P50406; Q9H3N8,0.0
categorical__Target_Protein_UniProt_P08172; P08173; P08908; P08912; P08913; P11229; P14416; P18089; P18825; P20309; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P28566; P34969; P35348; P35367; P35368; P35462; P46098; P50406,0.0
categorical__Target_Protein_UniProt_P08172; P08173; P08908; P08912; P08913; P11229; P14416; P18089; P18825; P20309; P21728; P21917; P28221; P28222; P28223; P28335; P28566; P34969; P35348; P35367; P35368; P35462; P46098; P50406; Q9H3N8; Q9NYX4,0.0
categorical__Target_Protein_UniProt_P08172; P08173; P08912; P11229; P14410; P20309,0.0
categorical__Target_Protein_UniProt_P08172; P08173; P08912; P11229; P20309,0.0
categorical__Target_Protein_UniProt_P08172; P08173; P11229; P20309,0.0
categorical__Target_Protein_UniProt_P05023,0.0
categorical__Target_Protein_UniProt_P05106; P08514,0.0
categorical__Target_Protein_UniProt_P05108; P11511,0.0
categorical__Target_Protein_UniProt_P05230; P08620; P09038,0.0
categorical__Target_Protein_UniProt_P05230; P08700; P80511; Q99584,0.0
categorical__Target_Protein_UniProt_P08684; P08908; P08913; P10635; P14416; P18089; P18825; P20815; P21728; P21917; P28221; P28223; P28335; P35348; P35367; P35368; P35462,0.0
categorical__Target_Protein_UniProt_P08729; P16083,0.0
categorical__Target_Protein_UniProt_P08908,0.0
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P34969; P35348; P35368; P35462; P41595,0.0
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P35348; P35368; P35462; P41595,0.0
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P35462; P41595,0.0
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P35462; P41595; Q9NYX4,0.0
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P23975; P25100; P28221; P28222; P28223; P28335; P30939; P35348; P35368,0.0
categorical__Target_Protein_UniProt_P08908; P09172; P14416; P21728; P21917; P21918; P23975; P31645; P34969; P35462; Q01959,0.0
categorical__Target_Protein_UniProt_P08908; P11229; P14416; P28223,0.0
categorical__Target_Protein_UniProt_P08908; P14416; P18089; P21728; P21917; P21918; P35462,0.0
categorical__Target_Protein_UniProt_P08908; P14416; P18825; P21728; P21917; P28223; P34969; P35348; P35367; P35462; P50406,0.0
categorical__Target_Protein_UniProt_P07437,0.0
categorical__Target_Protein_UniProt_P07437; P11388; P68366,0.0
categorical__Target_Protein_UniProt_P07437; Q9H4B7,0.0
categorical__Target_Protein_UniProt_P07550; P08588; P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P34969; P35348; P35368; P35462; P41595,0.0
categorical__Target_Protein_UniProt_P08908; P28222; P35372; P46098; Q13639,0.0
