mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__class_weight,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.029034137725830078,0.00031837984157078055,0.014525254567464193,0.00040130643437661306,,gini,3,1,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
0.026025851567586262,0.00217254351438436,0.01511708895365397,0.003225720038288686,,gini,3,2,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
0.030364990234375,0.0008654796056789332,0.017412185668945312,0.0016053602797531127,,gini,3,2,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
0.02387841542561849,0.003512802613398067,0.01343075434366862,0.0008442406561739275,,gini,3,2,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
0.02335182825724284,0.0030348877750184587,0.01509531339009603,0.00033708184615948946,,gini,3,4,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
0.020133574803670246,0.00011042878969382161,0.01279886563618978,0.00038504496365285903,,gini,3,4,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
0.025794267654418945,0.004044624001860047,0.017427603403727215,0.002034727769837649,,gini,3,4,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 3, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.049096045197740114,0.06411822660098523,0.059645562770562766,0.05761994485642937,0.006297821288802685,304
0.02893209457397461,0.004657069162393034,0.018740177154541016,0.001785333562010547,,gini,5,1,2,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.08341439521955282,0.08852344509232264,0.06655887569927685,0.07949890533705077,0.00938469935304138,262
0.025131702423095703,0.004259499565316031,0.016754309336344402,0.002561314585771926,,gini,5,1,5,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.08341439521955282,0.08852344509232264,0.06655887569927685,0.07949890533705077,0.00938469935304138,262
0.030414819717407227,0.002065309029793142,0.01723003387451172,0.0024009963654942866,,gini,5,1,10,"{'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.0820999115826702,0.08852344509232264,0.06655887569927685,0.07906074412475657,0.009220917571240292,266
