Feature,Importance
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P35462; P41595,0.09411118988680486
categorical__Current_Use_Bacterial urinary infection,0.09370313224891585
categorical__Target_Protein_UniProt_P35498,0.09369650380478213
"categorical__Current_Use_Tuberculosis, Pulmonary",0.09303615065376282
categorical__Current_Use_Diarrhea,0.09293468744301084
categorical__Current_Use_Chronic thromboembolic pulmonary hypertension,0.09273848123123545
categorical__Current_Use_Cerebrovascular Disorders,0.09263672595730121
categorical__Current_Use_Hypertension,0.09248136216765473
categorical__Target_Protein_UniProt_P54219; Q05940,0.09246833752558568
categorical__Current_Use_Malignant epithelial neoplasm of female breast,0.09204398323263009
categorical__Current_Use_Constipation,0.09191023693874997
categorical__Current_Use_Non-24 hour sleep-wake cycle,0.09183158880593356
categorical__Current_Use_Uterine Fibroids,0.09000129446796362
categorical__Target_Protein_UniProt_O15530; P35354,0.089297564032691
categorical__Current_Use_Obesity,0.08927429350604013
categorical__Current_Use_Labor Pain,0.08860766228308656
categorical__Target_Protein_UniProt_P11511,0.08850295324338153
categorical__Target_Protein_UniProt_P00326; P00395; P00403; P00414; P04054; P09669; P10176; P10606; P13073; P14854; P15954; P20674; P22830; P23141; P24310; P24311; P51161; P54965; P62508; Q02221; Q7KZA3,0.08823737080924063
categorical__Current_Use_3-Beta-hydroxy-delta-5-C27-steroid dehydrogenase deficiency,0.08823737080924063
categorical__Current_Use_Embolism,0.08769204822905952
categorical__Target_Protein_UniProt_P0AC13,0.0876402451777659
categorical__Target_Protein_UniProt_P62942,0.08750102377482441
categorical__Current_Use_Liver transplant rejection,0.08750102377482441
categorical__Target_Protein_UniProt_P04083; P04150,0.08735066578408295
categorical__Target_Protein_UniProt_P11229; P14416; P46098; Q13639,0.08727167437466944
categorical__Target_Protein_UniProt_P00439; P07550; P08588; P08913; P13945; P18089; P18825; P25100; P35348; P35368,0.08718841322466156
categorical__Drug_Class_5-alpha Reductase Inhibitors,0.0871432943504044
"categorical__Current_Use_Alopecia, Male Pattern",0.0871432943504044
categorical__Target_Protein_UniProt_P18405; P31213; P51857,0.0871432943504044
categorical__Drug_Class_Hydroxymethylglutaryl-CoA Reductase Inhibitors,0.08657830920207357
categorical__Drug_Class_Cholinergic Antagonists,0.08633093925810378
categorical__Target_Protein_UniProt_P30872; P30874; P32745; P35346,0.08632264664748704
categorical__Current_Use_Opisthorchiasis,0.08629166103557688
categorical__Current_Use_Erosive esophagitis,0.08562896636583854
categorical__Current_Use_Malignant tumor of colon,0.08547406051943947
categorical__Drug_Class_Antidepressive Agents,0.08532811014288912
categorical__Current_Use_Actinomycosis,0.08516691028260112
categorical__Target_Protein_UniProt_P00915; P00918; P07451; P22748; P29972; P43166; Q9ULX7,0.08478073371793836
categorical__Current_Use_Chronic idiopathic thrombocytopenic purpura,0.08434975836992623
categorical__Target_Protein_UniProt_P40238,0.08434975836992623
categorical__Drug_Class_Thrombopoietic Agents,0.08434975836992623
categorical__Drug_Class_Ionophores,0.08431154587479325
categorical__Target_Protein_UniProt_P08253; P09960; P12821; P14780,0.08411590625971158
categorical__Target_Protein_UniProt_Q16739,0.08369400774640445
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P34969; P35348; P35368; P35462; P41595,0.08347131913879538
categorical__Drug_Class_Hormone Antagonists,0.08347131913879538
categorical__Current_Use_Cerebral Embolism,0.08326752922129035
categorical__Target_Protein_UniProt_P0A7S3,0.0832609509014684
categorical__Current_Use_Age related macular degeneration,0.08287084138635822
categorical__Current_Use_Breastfeeding (mother),0.08280248752442594
categorical__Current_Use_Gaucher Disease,0.08267761810536546
categorical__Current_Use_Epidermal growth factor receptor positive non-small cell lung cancer,0.08260414021241483
categorical__Target_Protein_UniProt_P08913; P18089; P18825; P25100; P35348; P35368,0.08243850034157654
categorical__Current_Use_Nasal congestion (finding),0.08243850034157654
categorical__Target_Protein_UniProt_P08908,0.08240986508528034
categorical__Current_Use_Lymphoma,0.0822529549160456
categorical__Current_Use_Congenital Hypothyroidism,0.08223485553221346
categorical__Target_Protein_UniProt_P10827; P10828,0.08223485553221346
categorical__Drug_Class_Hematinics,0.08203271627102476
categorical__Target_Protein_UniProt_P14207; P41439,0.08203271627102476
categorical__Current_Use_Migraine Disorders,0.08193378286097848
categorical__Current_Use_Atrophic Vaginitis,0.0817414384563522
categorical__Target_Protein_UniProt_O00555; P01189; P35372; P41143; P41145; P62158,0.08161594933236031
categorical__Target_Protein_UniProt_Q9BQB6,0.08137542604459307
categorical__Current_Use_Hyperthyroidism,0.08133868812524862
categorical__Target_Protein_UniProt_P07202,0.08133868812524862
categorical__Current_Use_Gonorrhea,0.08129976577713419
categorical__Target_Protein_UniProt_P37088; P51168; P51170; P51172,0.08125569605888472
categorical__Target_Protein_UniProt_P36507; Q02750,0.08113785433726753
categorical__Target_Protein_UniProt_O14920; O15111; P04054; P09917; P23219; P24557; P24752; P35354; P37231; Q9UPY5,0.08101507623299907
categorical__Target_Protein_UniProt_P0A3M6,0.0809721868757228
categorical__Current_Use_Enterocolitis,0.08063319800940574
categorical__Current_Use_Erysipelas,0.08055723611601509
categorical__Drug_Class_Vasopressin receptor antagonists,0.08051603475705368
categorical__Target_Protein_UniProt_P30518; P37288,0.08051603475705368
categorical__Current_Use_Hyponatremia,0.08051603475705368
categorical__Drug_Class_Hypolipidemic Agents,0.08046144340737929
"categorical__Drug_Class_Antimetabolites, Antineoplastic",0.08045172204000554
categorical__Target_Protein_UniProt_P00750; P27815; P34995; P43119; Q07343; Q08493; Q08499,0.0801329205693885
categorical__Target_Protein_UniProt_P0AFU8; P30043; Q969G6,0.08013236121015702
"categorical__Current_Use_Mineral deficiency, vitamin deficiency",0.08013236121015702
categorical__Target_Protein_UniProt_P14416; P21728; P62158,0.08009066513184877
"categorical__Current_Use_Hepatitis B, Chronic",0.07988585799564672
categorical__Drug_Class_Expectorants,0.07959799895392536
categorical__Current_Use_Anaplastic astrocytoma,0.07954389008615449
categorical__Current_Use_Hamman-Rich syndrome,0.0794259537372816
categorical__Target_Protein_UniProt_P23219; P48048,0.07929822927655554
categorical__Current_Use_Aortic coarctation,0.07915887763745086
categorical__Target_Protein_UniProt_P34995; P43116,0.07915887763745086
categorical__Target_Protein_UniProt_P34995; P42330; P43088; P43115,0.07915459621614725
categorical__Drug_Class_Anti-glaucoma Agents,0.07909124222600222
categorical__Target_Protein_UniProt_P52895,0.0787231060360343
categorical__Drug_Class_Cholagogues and Choleretics,0.0787231060360343
categorical__Current_Use_Breast Fibrocystic Disease,0.07803640973645584
categorical__Target_Protein_UniProt_P03372; P06401; P10275; P13500; P30968,0.07803640973645584
categorical__Drug_Class_Vasodilator Agents,0.07792968382005183
categorical__Target_Protein_UniProt_P27815; Q07343; Q08493; Q08499,0.07790102601193118
categorical__Current_Use_Severe chronic obstructive pulmonary disease,0.07790102601193118
categorical__Drug_Class_Phosphodiesterase Inhibitors,0.07783765504925336
categorical__Drug_Class_Antineovascularisation Agents,0.0777907573266742
categorical__Current_Use_Choroidal Neovascularization,0.0777907573266742
categorical__Target_Protein_UniProt_Q9Y271,0.07778149917214223
categorical__Current_Use_Chronic ulcerative proctitis,0.07763541977783643
categorical__Target_Protein_UniProt_O14920; O15111; P05164; P09917; P23219; P35354; P37231,0.07763541977783643
categorical__Current_Use_Dysmenorrhea,0.07754522623286085
categorical__Target_Protein_UniProt_P06864,0.07693377862726158
categorical__Current_Use_Chorioretinitis,0.07679735674705943
categorical__Current_Use_Paroxysmal supraventricular tachycardia,0.07661580575321955
categorical__Current_Use_Streptococcus pyogenes infection,0.07644930814534183
categorical__Target_Protein_UniProt_Q9A1X4,0.0764243430738171
categorical__Current_Use_Bacterial peritonitis,0.07642409357941012
categorical__Target_Protein_UniProt_P09917,0.0763812236795321
categorical__Target_Protein_UniProt_P0AD65; P0AD68; Q51504; Q9X6V3,0.07632991577298902
categorical__Current_Use_Bacterial infection due to Klebsiella pneumoniae,0.07632991577298902
categorical__Target_Protein_UniProt_Q14432,0.0761675937158639
categorical__Current_Use_Endometriosis,0.07593734693261821
"categorical__Current_Use_Myelofibrosis, Atopic dermatitis",0.07586191274404169
categorical__Target_Protein_UniProt_O60674; P23458,0.07586191274404169
categorical__Target_Protein_UniProt_P08908; P08913; P14416; P18089; P23975; P25100; P28221; P28222; P28223; P28335; P30939; P35348; P35368,0.07570047095909514
categorical__Current_Use_Follicular thyroid carcinoma,0.07532722841678291
categorical__Current_Use_Acute Promyelocytic Leukemia,0.07515986011463875
categorical__Target_Protein_UniProt_P55017,0.07498301736559752
categorical__Current_Use_Lennox-Gastaut syndrome,0.07492966414442487
categorical__Current_Use_Cycloplegia,0.07484774372774501
categorical__Target_Protein_UniProt_Q2FGH1,0.07440770513272635
categorical__Current_Use_Abdominal actinomycosis,0.07440770513272635
"categorical__Current_Use_Tuberculosis, Drug-Resistant",0.07427551312498984
categorical__Target_Protein_UniProt_P40261; P49019; Q15274; Q8TDS4,0.07420669122437047
categorical__Current_Use_Cerebral Edema,0.0741739550826631
categorical__Drug_Class_Sweetening Agents,0.0741739550826631
"categorical__Current_Use_Asthma attack, bronchospasm",0.07400504116998771
categorical__Current_Use_Acute lymphocytic leukemia,0.07378619927847066
categorical__Current_Use_Aspiration Pneumonia,0.07364879208110983
categorical__Target_Protein_UniProt_P00915; P00918; P05023; P22748; Q13621,0.07342321201818923
categorical__Target_Protein_UniProt_O75469; P03372,0.07332800115134441
"categorical__Current_Use_Skin Diseases, Bacterial",0.07315629752107933
categorical__Target_Protein_UniProt_P00918; P05089; P0ABQ4; P35222; Q8XB74,0.07288132001479444
categorical__Target_Protein_UniProt_P44469,0.07281683801263081
categorical__Drug_Class_Central Nervous System Stimulants,0.07271292556368512
categorical__Target_Protein_UniProt_O75469; P03372; Q92731,0.07268883229915399
categorical__Target_Protein_UniProt_Q06432,0.07253804149735235
categorical__Drug_Class_Serotonin Uptake Inhibitors,0.07237118987165272
"categorical__Current_Use_Lymphoma, T-Cell, Cutaneous",0.07234225478686704
categorical__Target_Protein_UniProt_P06401,0.07233986994666752
"categorical__Current_Use_Anemia, Pernicious",0.07230296667291065
categorical__Target_Protein_UniProt_O60779; Q9H3S4,0.07230296667291065
categorical__Current_Use_Hyperphosphatemia (disorder),0.07229559799991152
categorical__Current_Use_Bipolar disorder in remission,0.07229095205454564
categorical__Current_Use_Malaria,0.07228431624464746
categorical__Target_Protein_UniProt_P43700; P43702,0.07226198411264607
categorical__Target_Protein_UniProt_P00533,0.07212245766477338
categorical__Current_Use_Psychotic Disorders,0.07170066552051993
categorical__Target_Protein_UniProt_P14416; P21728; P21917; P21918; P35462,0.07167534522086912
categorical__Target_Protein_UniProt_P07550; P08588; P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P25100; P28221; P28222; P28223; P28335; P34969; P35348; P35368; P35462; P41595,0.07145194321456454
categorical__Current_Use_Hyperprolactinemia,0.07145194321456454
categorical__Target_Protein_UniProt_P01023; P14735,0.07138195116091098
categorical__Target_Protein_UniProt_P20309; P23975; P28335; P31645; P35372; P41143; P41145; Q8TCU5,0.07136784522057117
categorical__Current_Use_Cutaneous Candidiasis,0.07128230037215774
categorical__Target_Protein_UniProt_P11387; Q969P6,0.0710283326484589
categorical__Target_Protein_UniProt_P08172; P08173; P08908; P08912; P08913; P11229; P14416; P18089; P18825; P20309; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P28566; P34969; P35348; P35367; P35368; P35462; P46098; P50406,0.07083850563395547
categorical__Current_Use_Bronchitis,0.07040280450700134
categorical__Target_Protein_UniProt_Q75Y35; Q8DR59,0.07040280450700134
categorical__Target_Protein_UniProt_P23219; P35354; Q04828,0.07033940315183236
categorical__Target_Protein_UniProt_O14920; O15111; O15399; P48637; Q03154; Q05586; Q12879; Q13224; Q8TCU5; Q9UPY5,0.07032308877558886
categorical__Target_Protein_UniProt_O76074; P18545; Q13956,0.07027125671198484
categorical__Current_Use_Chronic gouty arthritis,0.07023383432917682
categorical__Current_Use_Alcohol withdrawal syndrome,0.07008716407099208
categorical__Target_Protein_UniProt_O00519; P14867; P31644; P34903; P36544; P42262; P43681; P47869; P48169; Q13002; Q16445,0.06964141107874114
categorical__Target_Protein_UniProt_P68371; P83223; Q71U36,0.06949387148380129
categorical__Current_Use_Echinococcus granulosus infection,0.06949387148380129
categorical__Target_Protein_UniProt_P07900; P21462; Q13258; Q9NS75; Q9Y271,0.06912595197884261
categorical__Target_Protein_UniProt_P05023,0.06899398400888107
categorical__Current_Use_Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,0.06896284340102961
