Record_#,Drug_Name,DrugBank_ID,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,TPSA,Rotatable_Bonds,Drug_Class,Target_Protein_UniProt,Current_Use,Repurposed_Use,Repurposed_Category
182,Choline,DB00122,104.17,-0.32,1,1,20.23,2,Lipotropic Agents,O14939; P06276; P22303; P49585; Q13393; Q8TCT1; Q9Y5K3,Sleeplessness,,Others
183,Ciclesonide,DB01410,540.7,4.7,1,7,99.13,5,,P04150,Allergic rhinitis (disorder),asthma; hay fever,Respiratory
184,Ciclopirox,DB01188,207.27,2.44,1,2,42.23,1,Antifungal Agents,P05023,Cutaneous Candidiasis,onychomycosis; scurfiness of scalp; seborrheic dermatitis; tinea pedis; tinea versicolor; tinea corporis (disorder); tinea cruris,Skin
185,Cilastatin,DB01597,358.46,1.43,4,5,129.72,11,,P16444,Abdominal Abscess,"acute exacerbation of chronic bronchitis; arthropathy associated with infection; bacterial infection due to klebsiella pneumoniae; bacterial sepsis; diabetic foot infection; endometritis; enterobacter pneumonia; female genital tract infection; haemophilus influenzae pneumonia; infection of bone; infection of skin and/or subcutaneous tissue; intraabdominal infections; lower respiratory tract infection; pelvic inflammatory disease; peritonitis; pneumonia due to escherichia coli; pneumonia, bacterial",Infection
186,Cilazapril,DB01340,417.51,1.6,2,6,99.18,8,Angiotensin-Converting Enzyme Inhibitors,P12821,Hypertensive disease,,Others
187,Cilostazol,DB01166,369.47,3.46,1,5,81.93,7,Fibrinolytic Agents,Q14432,Intermittent Claudication,,Others
188,Cimetidine,DB00501,252.35,0.6,3,4,88.89,5,Adjuvants,P25021,Duodenal Ulcer,"dyspepsia; gastric ulcer; gastroesophageal reflux disease; heartburn; mastocytosis, systemic; multiple endocrine neoplasia; upper gastrointestinal hemorrhage; zollinger-ellison syndrome",Stomach
189,Cinchocaine,DB00527,343.47,3.49,1,4,54.46,10,"Anesthetics, Local",P62158; Q14524; Q9Y5Y9,Pruritus,skin irritation,Skin
190,Cinoxacin,DB00827,262.22,0.84,1,5,90.65,2,,P43700,Urinary tract infection,,Others
191,Ciprofloxacin,DB00537,331.35,1.58,2,4,74.57,3,Anti-Infective Agents,P11388; P43700; P43702,Abdominal Abscess,"acute moraxella catarrhalis bronchitis; acute gonococcal cervicitis; acute gonococcal urethritis; acute maxillary sinusitis; acute osteomyelitis; anthrax disease; arthropathy associated with infection; bacterial conjunctivitis; bacterial infection due to klebsiella pneumoniae; bacterial urinary infection; chancroids; chronic bacterial prostatitis; cystitis; cystitis escherichia; enteric campylobacteriosis; enterobacter pneumonia; enterobacteriaceae infections; escherichia coli infections; escherichia coli septicemia; escherichia coli urinary tract infection; haemophilus influenzae pneumonia; haemophilus parainfluenzae pneumonia; infection of bone; infection of skin and/or subcutaneous tissue; infective cystitis; infective otitis externa; intraabdominal infections; klebsiella cystitis; lower respiratory tract infection; malignant otitis externa due to pseudomonas aeruginosa; nosocomial pneumonia; otitis externa; pyelonephritis e coli; pneumonia due to escherichia coli; pneumonia due to pseudomonas; pneumonia, bacterial; proteus pneumonia; proteus urinary tract infection; rhinoscleroma; shigella infections; staphylococcus aureus infection; streptococcus pyogenes infection; traveler's diarrhea; typhoid fever; urinary tract infection citrobacter; urinary tract infection enterococcus; prostatitis",Infection
192,Cisapride,DB00604,465.95,3.36,2,6,86.05,9,Serotonin Receptor Agonists,P28223; P46098; Q12809; Q13639,Gastroesophageal reflux disease,,Others
193,Cladribine,DB00242,285.69,-0.3,3,7,119.31,2,Antineoplastic Agents,P00491; P09884; P23921; P31350; P56282; Q07864; Q7LG56; Q9NR33; Q9NRF9,Hairy Cell Leukemia,,Others
194,Clarithromycin,DB01211,747.96,2.44,4,14,182.91,8,Anti-Bacterial Agents,P0A7J6,Acute Moraxella catarrhalis bronchitis,"acute bacterial bronchitis; acute bacterial sinusitis; acute exacerbation of chronic bronchitis; acute maxillary sinusitis; acute otitis media; chlamydial pneumonia; haemophilus influenzae pneumonia; haemophilus parainfluenzae pneumonia; helicobacter-associated gastritis; infection of skin and/or subcutaneous tissue; infective otitis media; moraxella catarrhalis pneumonia; mycoplasma pneumonia; pneumonia, bacterial; pulmonary mycobacterium avium complex infection; staphylococcus aureus infection; streptococcal pneumonia; streptococcal tonsillitis; streptococcus pyogenes infection",Ear/Nose/Throat
195,Clavulanate,DB00766,199.16,-1.1,2,4,87.07,2,Enzyme Inhibitors,P00807,Acute bacterial sinusitis,"bacterial infection due to klebsiella pneumoniae; bacterial sepsis; bacterial urinary infection; escherichia coli infections; escherichia coli septicemia; escherichia coli urinary tract infection; haemophilus influenzae pneumonia; haemophilus parainfluenzae pneumonia; infection of skin and/or subcutaneous tissue; infective otitis media; klebsiella cystitis; moraxella catarrhalis pneumonia; osteomyelitis due to staphylococcus aureus; pneumonia due to klebsiella pneumoniae; pneumonia due to staphylococcus aureus; pneumonia, bacterial; rhinoscleroma; sepsis due to pseudomonas; sepsis due to staphylococcus aureus; staphylococcal pneumonia; staphylococcus aureus infection; streptococcal pneumonia; urinary tract infection citrobacter; urinary tract infection",Infection
196,Clidinium,DB00771,352.45,2.7,1,3,46.53,4,Anti-Arrhythmia Agents,P11229,Enterocolitis,irritable bowel syndrome,Stomach
197,Clindamycin,DB01190,424.99,0.39,4,7,102.26,7,Anti-Bacterial Agents,P0A7J6,Acne Vulgaris,"arthropathy associated with infection; aspiration pneumonia; bacterial vaginosis; bacterial sepsis; empyema, pleural; gas gangrene caused by clostridium perfringens; infection of bone; infection of skin and/or subcutaneous tissue; intraabdominal infections; osteomyelitis due to staphylococcus aureus; pelvic inflammatory disease; septicemia due to anaerobes; staphylococcal pneumonia; staphylococcal bacteraemia; staphylococcus aureus infection; streptococcal pneumonia; streptococcal sepsis; streptococcus pyogenes infection",Infection
198,Clobazam,DB00349,300.75,3.37,0,2,40.62,1,Anticonvulsants,,Lennox-Gastaut syndrome,,Others
199,Clobetasol propionate,DB01013,466.98,4.1,1,5,80.67,4,Anti-Inflammatory Agents,P04150,Chronic small plaque psoriasis,contact dermatitis; inflammatory dermatosis; nummular eczema; scalp dermatoses; scalp psoriasis; seborrheic dermatitis,Skin
200,Clocortolone,DB00838,410.91,3.0,2,4,74.6,2,Corticosteroids,P04150,Chronic small plaque psoriasis,"contact dermatitis; exanthema; granuloma annulare; lichen simplex chronicus; lupus erythematosus, discoid; lymphoma, t-cell, cutaneous; pruritus ani; pruritus of genital organs; scalp psoriasis; seborrheic dermatitis",Skin
201,Clofarabine,DB00631,303.68,-0.35,3,7,119.31,2,Purine analogues,P09884; P23921,Acute lymphocytic leukemia,,Others
202,Clofazimine,DB00845,473.41,7.49,1,3,42.21,4,"Anti-Inflammatory Agents, Non-Steroidal",,Dapsone resistant mycobacterium leprae disease,"erythema nodosum leprosum; leprosy; leprosy, multibacillary; pyoderma gangrenosum",Others
203,Clofedanol,DB04837,289.81,3.53,1,2,23.47,5,Histamine Antagonists,P35367,Allergic rhinitis (disorder),"common cold; coughing; nasal congestion (finding); rhinitis; rhinitis, vasomotor; rhinorrhea",Respiratory
204,Clonazepam,DB01068,315.72,3.04,1,4,84.6,2,Anticonvulsants,P30536,Absence Epilepsy,"epilepsies, myoclonic; epileptic drop attack; lennox-gastaut syndrome; panic disorder",Mental Health
205,Clorazepate,DB00628,314.73,2.58,2,3,78.76,2,,P30536,Alcohol withdrawal syndrome,anxiety,Mental Health
206,Cloxacillin,DB01147,435.89,2.55,2,6,112.74,4,Penicillins,P00811; P0AEB3; Q51504; Q8DNB6,Infection of skin AND/OR subcutaneous tissue,lower respiratory tract infection; pharyngitis; sinusitis; staphylococcal pneumonia; staphylococcal bacteraemia; staphylococcal meningitis; staphylococcus aureus infection,Ear/Nose/Throat
207,Clozapine,DB00363,326.83,3.72,1,4,30.87,0,Antipsychotic Agents,P08172; P08173; P08908; P08912; P08913; P11229; P14416; P18089; P18825; P20309; P21728; P21917; P28221; P28222; P28223; P28335; P28566; P34969; P35348; P35367; P35368; P35462; P46098; P50406; Q9H3N8; Q9NYX4,Treatment-resistant schizophrenia,,Others
208,Cobicistat,DB09065,776.04,6.0,3,10,138.02,19,,,HIV Infections,,Others
209,Cobimetinib,DB05239,531.32,3.78,3,4,64.6,4,,Q02750,"Malignant melanoma, metastatic",,Others
210,Codeine,DB00318,299.37,1.5,1,4,41.93,1,"Analgesics, Opioid",P35372; P41143; P41145,Allergic rhinitis (disorder),common cold; coughing; fever; headache disorders; influenza-like symptoms; nasal congestion (finding); pain; rhinitis; rhinorrhea; sneezing; sore throat; tension headache,Pain
211,Colchicine,DB01394,399.44,2.87,1,6,83.09,5,Gout Suppressants,P07437; Q9H4B7,Chronic gouty arthritis,familial mediterranean fever; gout,Arthritis
212,Colfosceril palmitate,DB09114,734.05,10.61,0,8,111.19,38,,,"Respiratory Distress Syndrome, Newborn",,Others
213,Colistimethate,DB01111,1634.9,-9.77,18,33,706.71,44,Anti-Bacterial Agents,,Infection caused by Enterobacter,klebsiella infections; pseudomonas aeruginosa infection,Infection
214,Colistin,DB00803,1155.45,-5.83,18,18,490.66,28,Anti-Bacterial Agents,,Infection caused by Enterobacter,klebsiella infections; otitis externa; pseudomonas aeruginosa infection,Infection
215,Conivaptan,DB00872,498.59,6.51,2,3,78.09,4,,P30518; P37288,Hyponatremia,,Others
216,Conjugated Estrogens,DB00286,372.42,-0.05,0,5,83.5,2,Estrogens,P03372,Dyspareunia,hot flushes,Others
217,Cortisone acetate,DB01380,402.49,2.56,1,6,97.74,3,Corticosteroids,P04150,Acne Vulgaris,"acquired thrombocytopenia; acute lymphocytic leukemia; addison disease; addisonian crisis; adrenal cortical hypofunction; adrenogenital disorder; allergic conjunctivitis; allergic rhinitis (disorder); anemia, diamond-blackfan; angioedema; ankylosing spondylitis; aphthous stomatitis; arthritis, gouty; arthritis, psoriatic; aspiration pneumonitis; asthma; autoimmune diseases; autoimmune hemolytic anemia; bacterial keratitis; berylliosis; blepharoconjunctivitis; bursitis; cerebral edema; chronic small plaque psoriasis; chronic ulcerative proctitis; congenital adrenal hyperplasia; contact dermatitis; cooley's anemia; corneal ulcer; corneal abrasion; crohn disease; cyclitis; dermatitis herpetiformis; dermatologic disorders; disorder of eye; epicondylitis; erythema multiforme; exanthema; exfoliative dermatitis; gingival diseases; granuloma annulare; hemorrhoids; herpes zoster keratitis; hodgkin disease; humoral hypercalcemia of malignancy (disorder); infective blepharitis; infective otitis externa; inflammatory bowel diseases; inflammatory dermatosis; iridocyclitis; iritis; itching of ear; keratitis; laryngeal edema; lichen simplex chronicus; lupus erythematosus, discoid; lupus erythematosus, systemic; lymphoma, follicular; lymphoma, non-hodgkin; lymphoma, t-cell, cutaneous; malignant otitis externa due to pseudomonas aeruginosa; multiple sclerosis; musculoskeletal diseases; mycosis fungoides; nephrotic syndrome; otitis externa; pemphigus; post traumatic osteoarthritis; proctitis; pruritus ani; pruritus of genital organs; psoriasis; punctate keratopathy; recurrent herpes simplex labialis; rheumatic heart disease; rheumatoid arthritis; rosacea; sarcoidosis; scalp psoriasis; seborrheic dermatitis; serum sickness; simple pulmonary eosinophilia; status asthmaticus; synovitis; tendinitis; tenosynovitis; thyroiditis; tinea pedis; tinea corporis (disorder); tinea cruris; transplanted organ rejection; trichinellosis; tuberculosis, miliary; ulcerative colitis; uveitis",Stomach
218,Cromoglicic acid,DB01003,468.37,2.11,3,9,173.71,8,Anti-Asthmatic Agents,P25815; Q12791,Allergic Conjunctivitis,"allergic keratoconjunctivitis; allergic rhinitis (disorder); asthma; conjunctivitis, giant papillary; conjunctivitis, vernal; keratoconjunctivitis, vernal; mastocytosis, systemic",Respiratory
219,Cyclacillin,DB01000,341.43,0.28,3,5,112.73,3,Anti-Bacterial Agents,Q75Y35; Q8DR59,Bronchitis,infection of skin and/or subcutaneous tissue; infective otitis media; pharyngitis; urinary tract infection,Ear/Nose/Throat
220,Cyclopentolate,DB00979,291.39,2.18,1,4,49.77,6,Muscarinic Antagonists,P11229,Cycloplegia,mydriasis,Others
221,Cyclophosphamide,DB00531,261.09,1.88,1,2,41.57,5,Antirheumatic Agents,,Lymphoma,multiple myeloma; mycosis fungoides; neuroblastoma; retinoblastoma,Cancer
222,Cycloserine,DB00260,102.09,-1.62,2,3,64.35,0,Antimetabolites,P0A6J8,Acute tuberculosis,"bacterial urinary infection; escherichia coli urinary tract infection; tuberculosis, pulmonary",Infection
223,Cyclosporine,DB00091,1202.63,3.27,5,12,278.8,15,Antirheumatic Agents,P30405; P49069; P62937; Q96LZ3,Dry Eye Syndromes,keratoconjunctivitis sicca; rheumatoid arthritis,Arthritis
224,Cycrimine,DB00942,287.45,3.94,1,2,23.47,5,Antidyskinetics,P11229,Parkinson Disease,,Others
225,Cysteamine,DB00847,77.15,-0.13,2,2,26.02,1,Radiation-Protective Agents,P49146; P61278,Nephropathic cystinosis,,Others
226,Cytarabine,DB00987,243.22,-2.56,4,7,130.83,2,Antiviral Agents,P06746,Acute Promyelocytic Leukemia,"acute lymphocytic leukemia; leukemia, myelocytic, acute; meningeal leukemia; metastatic malignant neoplasm to the leptomeninges",Cancer
227,Dabrafenib,DB08912,519.57,5.36,2,7,110.86,5,,P04049; P15056; P53667; P57059; Q8NG66,"Malignant melanoma, metastatic",,Others
228,Dacarbazine,DB00851,182.19,0.07,2,4,99.73,3,"Antineoplastic Agents, Alkylating",P52209; Q14181,Hodgkin Disease,"malignant melanoma, metastatic",Cancer
229,Daclatasvir,DB09102,811.81,7.47,4,8,181.62,11,,,"Hepatitis C, Chronic",,Others
230,Dactinomycin,DB00970,1255.44,0.73,5,18,359.98,8,Anti-Bacterial Agents,,Ewings sarcoma,gestational trophoblastic neoplasms; nephroblastoma; rhabdomyosarcoma,Cancer
231,Dalbavancin,DB06219,1816.72,4.17,21,29,572.51,22,,,Infection of skin AND/OR subcutaneous tissue,"skin diseases, bacterial; staphylococcal skin infections",Infection
232,Dalfampridine,DB06637,94.12,0.66,1,2,38.91,0,Potassium Channel Blockers,P16389; P17658; P22001; P22459; P22460; P48547; Q09470; Q14003; Q14721; Q16322; Q92953; Q96PR1; Q96RP8; Q9NSA2; Q9NZV8; Q9UK17,Multiple Sclerosis,,Others
233,Dalfopristin,DB01764,690.86,2.27,2,11,176.42,7,Anti-Bacterial Agents,,Streptococcus pyogenes infection,,Others
234,Danazol,DB01406,337.46,4.22,1,3,46.26,0,,P03372; P06401; P10275; P13500; P30968,Breast Fibrocystic Disease,endometriosis,Reproductive
235,Dantrolene,DB01219,314.26,1.74,1,6,118.05,4,"Muscle Relaxants, Central",P21817,Malignant hyperpyrexia due to anesthesia,muscle spasticity; muscle spasticity of spinal origin,Others
236,Dapagliflozin,DB06292,502.99,0.38,6,8,171.34,7,sodium-glucose cotransporter 2 inhibitor ,P31639,"Diabetes Mellitus, Non-Insulin-Dependent",,Others
237,Darifenacin,DB00496,426.56,3.96,1,3,55.56,7,Antispasmodic Agents,P08172; P08173; P08912; P11229; P20309,Bladder muscle dysfunction - overactive,increased frequency of micturition; urge incontinence; urgency of micturition,Others
238,Darunavir,DB01264,547.67,2.38,3,8,140.42,11,HIV Protease Inhibitors,,HIV Infections,,Others
239,Dasabuvir,DB09183,493.59,4.02,2,5,110.26,5,,,"Hepatitis C, Chronic",,Others
240,Dasatinib,DB01254,488.02,3.31,3,9,106.51,7,,P00519; P06239; P06241; P07947; P09619; P10721; P12931; P29317; P42684; P51692,Blast Phase,"leukemia, myeloid, accelerated phase; leukemia, myeloid, chronic-phase; philadelphia chromosome positive chronic myelogenous leukemia; philadelphia chromosome-positive acute lymphoblastic leukemia",Cancer
241,Daunorubicin,DB00694,527.53,1.03,5,11,185.84,4,"Antibiotics, Antineoplastic",P11388; Q02880,Acute Erythroblastic Leukemia,"acute promyelocytic leukemia; acute lymphocytic leukemia; acute monocytic leukemia; kaposi sarcoma; leukemia, myelocytic, acute",Cancer
242,Decitabine,DB01262,228.21,-2.14,3,7,123.49,2,Enzyme Inhibitors,P26358,"Leukemia, Myelocytic, Acute",,Others
243,Deferasirox,DB01609,373.37,3.71,3,5,108.47,4,Iron Chelating Agents,,Chronic iron overload,beta thalassemia,Others
244,Deferiprone,DB08826,139.15,0.4,1,2,42.23,0,Chelating Agents,,Iron Overload,beta thalassemia,Others
245,Deferoxamine,DB00746,560.69,0.92,6,9,205.84,23,Chelating Agents,,Chronic iron overload,poisoning by iron and/or its compounds,Others
246,Delavirdine,DB00705,456.57,2.72,3,6,110.43,6,Reverse Transcriptase Inhibitors,,HIV Infections,,Others
247,Demeclocycline,DB00618,464.86,0.26,6,9,181.62,2,Anti-Bacterial Agents,P0A7V8; P0A7X3,Actinomycosis,acute gonococcal cervicitis; acute gonococcal endometritis; acute gonococcal urethritis; bronchitis; brucellosis; chancroids; gingivostomatitis; gonorrhea; gonorrhea of pharynx; gonorrhea of rectum; granuloma inguinale; infection of skin and/or subcutaneous tissue; infective otitis media; klebsiella cystitis; lymphogranuloma venereum; pharyngitis; pneumonia; psittacosis; q fever; relapsing fever; rickettsialpox; rocky mountain spotted fever; sinusitis; staphylococcus aureus infection; syphilis; typhus; trachoma; urinary tract infection; yaws; pharyngitis due to haemophilus influenzae,Ear/Nose/Throat
248,Deoxycholic Acid,DB03619,392.58,4.48,3,3,77.76,4,,,Excess subcutaneous fat,,Others
249,Desmopressin,DB00035,1069.24,-4.13,14,15,435.41,19,Antidiuretic Agents,P30518; P37288; P47901,Bedwetting,hemophilia a; von willebrand disease,Blood
250,Desonide,DB01260,416.51,2.33,2,6,93.06,2,,P04150,Allergic rhinitis (disorder),"asthma; chronic small plaque psoriasis; contact dermatitis; crohn disease; crohn's disease in remission; exanthema; granuloma annulare; lichen simplex chronicus; lupus erythematosus, discoid; lymphoma, t-cell, cutaneous; otitis externa; pruritus ani; pruritus of genital organs; scalp psoriasis; seborrheic dermatitis",Skin
251,Desoximetasone,DB00547,376.47,2.78,2,4,74.6,2,,P04150,Chronic small plaque psoriasis,"contact dermatitis; dermatitis, atopic; exanthema; granuloma annulare; lichen simplex chronicus; lupus erythematosus, discoid; lymphoma, t-cell, cutaneous; pruritus ani; pruritus of genital organs; scalp psoriasis; seborrheic dermatitis",Skin
252,Desvenlafaxine,DB06700,263.38,2.73,2,3,43.7,4,Serotonin Uptake Inhibitors,P23975; P31645,Major Depressive Disorder,,Others
253,Dexamethasone,DB01234,392.47,1.9,3,5,94.83,2,"Antineoplastic Agents, Hormonal",P04083; P04150; P35228; P51843,Acquired thrombocytopenia,"acute lymphocytic leukemia; addison disease; addisonian crisis; adrenal cortical hypofunction; adrenogenital disorder; allergic conjunctivitis; allergic otitis externa; allergic rhinitis (disorder); anemia, diamond-blackfan; angioedema; ankylosing spondylitis; anterior uveitis; arthritis, gouty; arthritis, psoriatic; asthma; autoimmune hemolytic anemia; bacterial keratitis; berylliosis; blepharoconjunctivitis; branch retinal vein occlusion with macular edema; burkitt lymphoma; bursitis; central retinal vein occlusion with macular edema; cerebral edema; chronic small plaque psoriasis; contact dermatitis; cooley's anemia; corneal perforation; corneal ulcer; corneal abrasion; crohn disease; cyclitis; dermatitis herpetiformis; dermatitis, atopic; dermatologic disorders; diffuse large b-cell lymphoma; disorder of eye; epicondylitis; erythema multiforme; exacerbation of asthma; exanthema; exfoliative dermatitis; granuloma annulare; herpes zoster keratitis; hodgkin disease; humoral hypercalcemia of malignancy (disorder); infective blepharitis; inflammatory bowel diseases; iridocyclitis; iritis; keloid; keratitis; laryngeal edema; lichen simplex chronicus; lupus erythematosus, discoid; lupus erythematosus, systemic; lymphoma, follicular; lymphoma, non-hodgkin; lymphoma, t-cell, cutaneous; malignant otitis externa due to pseudomonas aeruginosa; multiple myeloma; multiple sclerosis; musculoskeletal diseases; mycosis fungoides; nephrotic syndrome; otitis externa; pemphigus; pruritus ani; pruritus of genital organs; psoriasis; punctate keratitis; punctate keratopathy; rheumatic heart disease; rheumatoid arthritis; rosacea; sarcoidosis; scalp psoriasis; seborrheic dermatitis; serum sickness; simple pulmonary eosinophilia; tenosynovitis; thyroiditis; transplanted organ rejection; trichinellosis; tuberculosis, miliary; uveitis",Cancer
254,Dextrothyroxine,DB00509,776.87,4.56,3,4,92.78,5,Hypolipidemic Agents,P07202; P10827; P10828,Hyperlipidemia,,Others
255,Dezocine,DB01209,245.37,3.11,2,2,46.25,0,"Analgesics, Opioid",P35372; P41145,Pain,,Others
256,Diazoxide,DB01119,230.68,1.87,1,3,58.53,0,Sodium Chloride Symporter Inhibitors,P00915; P00918; P05023; P55017; Q12791; Q14654,Hyperinsulinism,hypertensive emergency; hypertensive urgency; nesidioblastosis; insulinoma,Others
257,Diclofenac,DB00586,296.15,4.36,2,2,49.33,4,"Anti-Inflammatory Agents, Non-Steroidal",O43525; O43526; P09917; P14555; P23219; P35354; P35499; P78348,Actinic keratosis,"ankylosing spondylitis; degenerative polyarthritis; dysmenorrhea; osteoarthritis, knee; pain; rheumatoid arthritis; sprains and strains",Arthritis
258,Dicloxacillin,DB00485,470.33,3.2,2,6,112.74,4,Anti-Bacterial Agents,P0A3M6; Q75Y35; Q7CRA4; Q8DNB6; Q8DR59,Infection of skin AND/OR subcutaneous tissue,staphylococcal pneumonia; staphylococcus aureus infection,Respiratory
259,Dicoumarol,DB00266,336.3,2.9,2,6,100.88,2,Anticoagulants,P15559; Q08257; Q9BQB6,Cerebral Embolism,myocardial infarction; thromboembolism; thrombosis,Heart
260,Didanosine,DB00900,236.23,-0.21,2,5,93.03,2,Anti-HIV Agents,P00491,HIV Infections,,Others
261,Dienestrol,DB00890,266.34,4.6,2,2,40.46,3,"Estrogens, Non-Steroidal",P03372,Atrophic Vaginitis,atrophy of vulva; dyspareunia,Others
262,Diethylpropion,DB00937,205.3,2.6,0,2,20.31,5,Appetite Depressants,P23975; Q01959,Obesity,,Others
263,Difenoxin,DB01501,424.54,5.0,1,3,64.33,7,,,Diarrhea,,Others
264,Diflorasone,DB00223,410.46,1.84,3,5,94.83,2,Anti-Inflammatory Agents,P04150,Chronic small plaque psoriasis,"contact dermatitis; dermatitis, atopic; exanthema; granuloma annulare; lichen simplex chronicus; lupus erythematosus, discoid; lymphoma, t-cell, cutaneous; pruritus ani; pruritus of genital organs; scalp psoriasis; seborrheic dermatitis",Skin
265,Diflunisal,DB00861,250.2,3.04,2,2,57.53,2,"Anti-Inflammatory Agents, Non-Steroidal",P23219; P35354,Chronic pain,degenerative polyarthritis; pain; rheumatoid arthritis,Arthritis
266,Digoxin,DB00390,780.95,2.22,6,14,203.06,7,Enzyme Inhibitors,P05023,Atrial Fibrillation,chronic heart failure; poisoning by digitalis glycoside,Heart
267,Dihydrocodeine,DB01551,301.39,1.73,1,4,41.93,1,"Analgesics, Opioid",,Allergic rhinitis (disorder),common cold; coughing; nasal congestion (finding); pain; rhinitis; rhinorrhea,Pain
268,Dihydroergotamine,DB00320,583.69,2.08,3,6,118.21,4,Vasoconstrictor Agents,P08913; P28221; P28222; P41595,Cluster Headache,migraine disorders; vascular headaches,Pain
269,Dihydrotachysterol,DB01070,398.68,7.72,1,1,20.23,5,Bone Density Conservation Agents,P11473,Hypocalcemia,hypoparathyroidism; hypophosphatemia; rickets; tetany,Endocrine
270,Diiodohydroxyquinoline,DB09115,396.95,3.15,1,2,33.12,0,,,Amebiasis,,Others
271,Diloxanide,DB08792,328.15,3.27,0,4,59.75,4,Amebicides,,Amebiasis,,Others
272,Diltiazem,DB00343,414.53,3.37,0,6,59.08,6,,Q06432,Angina Pectoris,"angina pectoris, variant; atrial fibrillation; hypertensive disease; paroxysmal supraventricular tachycardia",Heart
273,Dimercaprol,DB06782,124.23,0.21,3,3,20.23,2,Chelating Agents,,Accidental poisoning by lead and its compounds and fumes,arsenic poisoning,Others
274,Dinoprostone,DB00917,352.47,3.25,3,4,94.83,12,Oxytocics,P34995; P35408; P43115; P43116,"Hydatidiform mole, benign",incomplete spontaneous abortion; unspecified abortion,Others
275,Diphenidol,DB01231,309.45,4.19,1,2,23.47,6,Antiemetics,P08172; P11229; P20309,Vertigo,,Others
276,Dipivefrin,DB00449,351.44,2.84,2,6,84.86,5,Adrenergic Agonists,P06276; P07550; P08913; P22303; P35348,"Glaucoma, Open-Angle",,Others
277,Dipyridamole,DB00975,504.64,-0.02,4,12,145.44,12,Platelet Aggregation Inhibitors,O76074; P00813; P27815; Q9Y233,Atrial Fibrillation,chronic heart failure; platelet aggregation inhibition,Heart
278,Dirithromycin,DB00954,835.09,2.2,5,16,196.33,12,Anti-Infective Agents,,Acute Moraxella catarrhalis bronchitis,bronchitis; infection of skin and/or subcutaneous tissue; legionella pneumophila pneumonia; mycoplasma pneumonia; pharyngitis; pneumonia; staphylococcus aureus infection; streptococcal tonsillitis; streptococcus pyogenes infection; tonsillitis,Respiratory
279,Disopyramide,DB00280,339.48,3.36,1,3,59.22,8,Anti-Arrhythmia Agents,P08172; P11229; P20309; Q14524; Q9NZV8; Q9UK17,Ventricular arrhythmia,,Others
280,Dobutamine,DB00841,301.39,2.96,4,4,72.72,7,Sympathomimetics,P07550; P08588,Decompensated cardiac failure,"heart decompensation; shock, cardiogenic",Heart
281,Docetaxel,DB01248,807.89,3.26,5,14,224.45,8,Antineoplastic Agents,O75469; P10415; P10636; P11137; P27816; Q9H4B7,Breast Carcinoma,cancer of head and neck; carcinoma breast stage iv; malignant neoplasm of prostate; malignant neoplasm of stomach; non-small cell lung carcinoma,Cancer
282,Docosanol,DB00632,326.61,7.8,1,1,20.23,20,Antiviral Agents,P03200,Herpes Labialis,,Others
283,Dolasetron,DB00757,324.38,2.52,1,4,62.4,2,Serotonin Antagonists,P46098,Chemotherapy-induced nausea and vomiting,,Others
284,Dolutegravir,DB08930,419.38,1.35,2,5,100.87,3,,,HIV Infections,,Others
285,Domperidone,DB01184,425.92,3.35,2,3,78.82,5,,P14416; P35462,Nausea and vomiting,,Others
286,Donepezil,DB00843,379.5,4.36,0,4,38.77,6,,P22303; P28223,Alzheimer's Disease,,Others
287,Dopamine,DB00988,153.18,0.6,3,3,66.48,2,Dopamine Agents,P08908; P09172; P14416; P21728; P21917; P21918; P23975; P31645; P34969; P35462; Q01959,Decompensated cardiac failure,"hypotension; low cardiac output syndrome; parkinson disease; parkinson disease, postencephalitic; parkinsonian disorders",Heart
288,Doripenem,DB06211,420.51,-1.6,5,7,162.06,7,,,Abdominal Abscess,cholecystitis; complicated appendicitis; intraabdominal infections; pyelonephritis,Urinary
289,Dorzolamide,DB00869,324.45,0.61,2,6,106.33,3,,P00915; P00918; P22748,"Glaucoma, Open-Angle",ocular hypertension,Heart
290,Doxazosin,DB00590,451.48,1.72,1,9,112.27,4,Antihypertensive Agents,P25100; P35348; P35368; Q12809; Q9H252; Q9NS40,Hypertensive disease,prostatic hypertrophy,Others
291,Doxorubicin,DB00997,543.53,0.0,6,12,206.07,5,"Antibiotics, Antineoplastic",P11388,AIDS with Kaposi's sarcoma,"acute lymphocytic leukemia; breast carcinoma; burkitt lymphoma; carcinoma breast stage iv; diffuse large b-cell lymphoma; hodgkin disease; kaposi sarcoma; leukemia, myelocytic, acute; lymphoma, follicular; lymphoma, non-hodgkin; malignant epithelial neoplasm of female breast; malignant neoplasm of lung; malignant neoplasm of ovary; malignant neoplasm of stomach stage iv; malignant neoplasm of thyroid; multiple myeloma; nephroblastoma; neuroblastoma; osteosarcoma of bone; small cell carcinoma of lung",Cancer
