Record_#,Drug_Name,DrugBank_ID,Molecular_Weight,LogP,Hydrogen_Bond_Donors,Hydrogen_Bond_Acceptors,TPSA,Rotatable_Bonds,Drug_Class,Target_Protein_UniProt,Current_Use,Repurposed_Use,Repurposed_Category
501,Lenvatinib,DB09078,426.86,5.06,4,5,120.05,6,,,Follicular thyroid carcinoma,papillary thyroid carcinoma,Cancer
502,Leucovorin,DB00650,473.45,-0.73,7,9,219.84,10,Vitamin B Complex,P04818,"Anemia, Megaloblastic",folic acid deficiency; methotrexate poisoning; poisoning by pyrimethamine; poisoning by sulfadiazine,Others
503,Levetiracetam,DB01202,170.21,-0.13,1,2,63.4,3,Nootropic Agents,Q00975; Q7L0J3,Epilepsy characterized by intractable complex partial seizures,simple partial seizures,Brain
504,Levobetaxolol,DB09351,307.43,2.39,2,4,50.72,11,,,"Glaucoma, Open-Angle",ocular hypertension,Heart
505,Levobunolol,DB01210,291.39,2.33,2,4,58.56,5,Sympatholytics,P07550; P08588,"Glaucoma, Open-Angle",ocular hypertension,Heart
506,Levocabastine,DB01106,420.53,4.89,1,3,64.33,4,"Histamine H1 Antagonists, Non-Sedating",O95665; P35367,Allergic Conjunctivitis,,Others
507,Levocetirizine,DB06282,388.9,3.15,1,4,53.01,8,,,Allergic rhinitis (disorder),chronic idiopathic urticaria; hay fever,Others
508,Levodopa,DB01235,197.19,0.05,4,4,103.78,3,Dopamine Agents,P14416; P21728; P21917; P21918; P35462,Parkinson Disease,"parkinson disease, postencephalitic; parkinsonian disorders",Brain
509,Levofloxacin,DB01137,361.37,1.54,1,5,75.01,2,Quinolones,P11388; P43700; P43702,Acute Moraxella catarrhalis bronchitis,"acute exacerbation of chronic bronchitis; acute maxillary sinusitis; anthrax disease; bacterial conjunctivitis; bacterial infection due to klebsiella pneumoniae; bacterial urinary infection; chlamydial pneumonia; escherichia coli urinary tract infection; haemophilus influenzae pneumonia; haemophilus parainfluenzae pneumonia; infection of skin and/or subcutaneous tissue; klebsiella cystitis; legionella pneumophila pneumonia; moraxella catarrhalis pneumonia; mycoplasma pneumonia; pyelonephritis e coli; pneumonia, bacterial; proteus urinary tract infection; pyelonephritis; staphylococcal pneumonia; staphylococcus aureus infection; streptococcal pneumonia; streptococcus pyogenes infection; urinary tract infection enterococcus",Infection
510,Levonorgestrel,DB00367,312.45,3.88,1,2,37.3,1,"Contraceptives, Oral, Synthetic",P03372; P06401; P10275; P18405,Hot flushes,menorrhagia,Others
511,Levorphanol,DB00854,257.38,3.08,1,2,23.47,0,"Analgesics, Opioid",P35372; P41143; P41145,Pain,,Others
512,Levosimendan,DB00922,280.29,1.36,2,6,113.43,3,Phosphodiesterase Inhibitors,P63316; Q14432; Q14654; Q15842,Congestive heart failure,,Others
513,Levothyroxine,DB00451,776.87,4.56,3,4,92.78,5,,P10827; P10828,Congenital Hypothyroidism,goiter; hashimoto disease; hyperlipidemia; hypothyroidism; malignant neoplasm of thyroid; myxedema,Cancer
514,Lidocaine,DB00281,234.34,2.58,1,2,32.34,5,Anti-Arrhythmia Agents,P00533; Q14524; Q15858; Q9Y5Y9,Hemorrhoids,infestation by phthirus pubis; mouth irritation; neuralgia; pediculus capitis infestation; postherpetic neuralgia; premature ejaculation; pruritus; pruritus ani; scabies <infestation>; skin irritation; urethritis; ventricular arrhythmia,Heart
515,Linaclotide,DB08890,1526.77,-5.94,19,26,573.91,13,,P25092,Chronic idiopathic constipation,irritable bowel syndrome; irritable bowel syndrome characterized by constipation,Stomach
516,Lincomycin,DB01627,406.55,-0.86,5,8,122.49,7,Anti-Bacterial Agents,P0A7J6,Pneumococcal Infections,streptococcal infections,Infection
517,Linezolid,DB00601,337.35,1.12,1,5,71.11,4,Anti-Bacterial Agents,,Staphylococcal Pneumonia,staphylococcus aureus infection; streptococcus pyogenes infection,Infection
518,Liothyronine,DB00279,650.98,3.95,3,4,92.78,5,Hormone Replacement Agents,P10827; P10828,Congenital Hypothyroidism,endemic goiter; goiter; hypothyroidism; malignant neoplasm of thyroid; myxedema; myxedema coma,Cancer
519,Lisdexamfetamine,DB01255,263.38,1.19,3,3,81.14,8,,P35368; Q01959,Attention deficit hyperactivity disorder,binge eating disorder,Others
520,Lisinopril,DB00722,405.5,1.24,4,5,132.96,12,,P12821; Q9BYF1,Chronic heart failure,hypertensive disease; myocardial infarction,Heart
521,Lisuride,DB00589,338.46,2.84,2,2,51.37,3,Antiparkinson Agents,P08908; P08913; P14416; P18089; P18825; P21728; P21917; P21918; P28221; P28222; P28223; P28335; P35462; P41595,Acromegaly,amenorrhea; migraine disorders,Pain
522,Lobeglitazone,DB09198,480.55,3.69,1,9,102.88,10,,,"Diabetes Mellitus, Non-Insulin-Dependent",,Others
523,Lodoxamide,DB06794,311.64,0.26,4,5,156.59,2,,,"Conjunctivitis, Vernal","keratoconjunctivitis, vernal",Eye
524,Lomefloxacin,DB00978,351.35,1.8,2,4,74.57,3,Anti-Infective Agents,P11388; P43700; P43702,Acute exacerbation of chronic bronchitis,bronchitis; cystitis escherichia; lower respiratory tract infection; urinary tract infection,Urinary
525,Lomustine,DB01206,233.7,2.25,1,3,61.77,4,"Antineoplastic Agents, Alkylating",Q9H169,Brain Neoplasms,hodgkin disease,Others
526,Loperamide,DB00836,477.05,5.09,1,3,43.78,7,Antidiarrheals,O00555; P01189; P35372; P41143; P41145; P62158,Diarrhea,traveler's diarrhea,Stomach
527,Lopinavir,DB01601,628.81,4.33,4,5,120.0,15,Anti-HIV Agents,,HIV Infections,,Others
528,Lorazepam,DB00186,321.16,3.1,2,3,61.69,1,Hypnotics and Sedatives,P30536,Absence Epilepsy,"anxiety; epilepsies, myoclonic; epileptic drop attack; lennox-gastaut syndrome; panic disorder; status epilepticus",Mental Health
529,Lornoxicam,DB06725,371.83,2.45,2,7,99.6,2,"Anti-Inflammatory Agents, Non-Steroidal",P23219; P35354,Pain,,Others
530,Losartan,DB00678,422.92,4.27,2,5,92.51,8,Antihypertensive Agents,P30556,Diabetic Nephropathy,hypertensive disease; hypertensive urgency,Others
531,Loteprednol,DB00873,394.9,2.74,2,5,83.83,2,Anti-Allergic Agents,P04150,Allergic Conjunctivitis,anterior uveitis; corneal perforation; corneal abrasion; herpes zoster keratitis; herpes zoster keratoconjunctivitis; iridocyclitis; iritis; ocular rosacea; punctate keratitis; rosacea,Eye
532,Lovastatin,DB00227,404.55,4.2,1,5,72.83,6,Anticholesteremic Agents,P04035; P20701; Q92769,Arteriosclerosis,"familial hypercholesterolemia - heterozygous; hypercholesterolemia; hyperlipidemia; hyperlipidemia, familial combined; hypertriglyceridemia; hypoalphalipoproteinemias",Metabolic
533,Loxoprofen,DB09212,246.31,2.79,1,2,54.37,4,,,Rheumatoid Arthritis,,Others
534,Lubiprostone,DB01046,390.47,4.31,2,4,83.83,11,Laxatives,P51788,Chronic idiopathic constipation,irritable bowel syndrome characterized by constipation,Stomach
535,Lumefantrine,DB06708,528.95,9.15,1,2,23.47,10,Antimalarials,,"Malaria, Falciparum",,Others
536,Lumiracoxib,DB01283,293.73,4.16,2,2,49.33,4,Cyclooxygenase 2 Inhibitors,P23219; P35354,Degenerative polyarthritis,,Others
537,MACITENTAN,DB08932,588.28,3.57,2,8,128.22,11,Vasodilator Agents,P24530; P25101,Pulmonary arterial hypertension,,Others
